S. 3232,https://www.congress.gov/bill/117th-congress/senate-bill/3232,STURDY Act,"Casey, Robert P., Jr.","Lujan, Ben Ray","Feinstein, Dianne","Durbin, Richard J.","Cardin, Benjamin L.","Klobuchar, Amy",Commerce,Administrative law and regulatory procedures,Child safety and welfare,Product safety and quality,Consumer Product Safety Commission
S. 3157,https://www.congress.gov/bill/117th-congress/senate-bill/3157,Bridging the Gap for New Americans Act,"Klobuchar, Amy","Collins, Susan M.","Cornyn, John","Murkowski, Lisa","Coons, Christopher A.","Hickenlooper, John W.",Immigration,Labor market,Wages and earnings,Government studies and investigations,Government information and archives
S. 3115,https://www.congress.gov/bill/117th-congress/senate-bill/3115,POWER 2.0 Act,"Sullivan, Dan","Hassan, Margaret Wood","Capito, Shelley Moore","Shaheen, Jeanne","Murkowski, Lisa",,Crime and Law Enforcement,,,,
S. 3103,https://www.congress.gov/bill/117th-congress/senate-bill/3103,Eliminating Limits to Justice for Child Sex Abuse Victims Act of 2022,"Durbin, Richard J.","Ossoff, Jon","Padilla, Alex","Blumenthal, Richard","Tillis, Thomas","Klobuchar, Amy",Crime and Law Enforcement,Sex offenses,Domestic violence and child abuse,Crimes against children,Civil actions and liability
S. 3092,https://www.congress.gov/bill/117th-congress/senate-bill/3092,FIRE Act,"Padilla, Alex","Lujan, Ben Ray","Wyden, Ron","Feinstein, Dianne","Murray, Patty","Merkley, Jeff",Emergency Management,Fires,"Forests, forestry, trees",Disaster relief and insurance,Homelessness and emergency shelter
S. 3059,https://www.congress.gov/bill/117th-congress/senate-bill/3059,Courthouse Ethics and Transparency Act,"Cornyn, John","Grassley, Chuck","Cruz, Ted","Durbin, Richard J.","Whitehouse, Sheldon","Kennedy, John",Law,Securities,Judges,Government information and archives,"Government ethics and transparency, public corruption"
S. 3011,https://www.congress.gov/bill/117th-congress/senate-bill/3011,"State, Local, Tribal, and Territorial Fiscal Recovery, Infrastructure, and Disaster Relief Flexibility Act","Cornyn, John","Casey, Robert P., Jr.","Hassan, Margaret Wood","Blackburn, Marsha","Murray, Patty","Wyden, Ron",Wages and earnings,Cardiovascular and respiratory health,Disaster relief and insurance,Economic performance and conditions,Emergency medical services and trauma care
S. 2991,https://www.congress.gov/bill/117th-congress/senate-bill/2991,Countering Human Trafficking Act of 2021,"Peters, Gary C.","Hassan, Margaret Wood","Kelly, Mark","Portman, Rob",,,Crime and Law Enforcement,Trade restrictions,Computers and information technology,Sex offenses,Public contracts and procurement
S. 2959,https://www.congress.gov/bill/117th-congress/senate-bill/2959,Supplemental Impact Aid Flexibility Act,"Thune, John","Cassidy, Bill","Smith, Tina","Murkowski, Lisa",,,Education,Emergency medical services and trauma care,Government information and archives,Education programs funding,Infectious and parasitic diseases
S. 2938,https://www.congress.gov/bill/117th-congress/senate-bill/2938,Bipartisan Safer Communities Act,"Rubio, Marco","Scott, Rick",,,,,Government Operations and Politics,"Government buildings, facilities, and property",Florida,Judges,Congressional tributes
S. 2932,https://www.congress.gov/bill/117th-congress/senate-bill/2932,"A bill to designate the facility of the United States Postal Service located at 430 South Knowles Avenue in New Richmond, Wisconsin, as the ""Captain Robert C. Harmon and Private John R. Peirson Post Office Building"".","Baldwin, Tammy","Johnson, Ron",,,,,Government Operations and Politics,Wisconsin,Postal service,"Government buildings, facilities, and property",Congressional tributes
S. 2923,https://www.congress.gov/bill/117th-congress/senate-bill/2923,Fishery Resource Disasters Improvement Act,"Wicker, Roger F.","Murkowski, Lisa","Hyde-Smith, Cindy","Cantwell, Maria",,,Public Lands and Natural Resources,Water quality,Floods and storm protection,Oil and gas,Marine pollution
S. 2899,https://www.congress.gov/bill/117th-congress/senate-bill/2899,Prison Camera Reform Act of 2021,"Ossoff, Jon","Durbin, Richard J.","Grassley, Chuck",,,,Crime and Law Enforcement,Law enforcement officers,Photography and imaging,Sound recording,Worker safety and health
S. 2796,https://www.congress.gov/bill/117th-congress/senate-bill/2796,Rural Opioid Abuse Prevention Act,"Ossoff, Jon","Grassley, Chuck",,,,,Crime and Law Enforcement,Health programs administration and funding,Health promotion and preventive care,Law enforcement administration and funding,"Drug, alcohol, tobacco use"
S. 2794,https://www.congress.gov/bill/117th-congress/senate-bill/2794,Supporting Families of the Fallen Act,"Tuberville, Tommy","Barrasso, John","Braun, Mike","Cramer, Kevin","Scott, Rick","Lummis, Cynthia M.",Armed Forces and National Security,Military personnel and dependents,Veterans' pensions and compensation,"Life, casualty, property insurance",
S. 2771,https://www.congress.gov/bill/117th-congress/senate-bill/2771,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in San Angelo, Texas, as the ""Colonel Charles and JoAnne Powell Department of Veterans Affairs Clinic"".","Cornyn, John","Cruz, Ted",,,,,Armed Forces and National Security,"Government buildings, facilities, and property",Texas,Home and outpatient care,Health facilities and institutions
S. 2687,https://www.congress.gov/bill/117th-congress/senate-bill/2687,Strengthening Oversight for Veterans Act of 2021,"Tester, Jon","Boozman, John","Manchin, Joe, III",,,,Armed Forces and National Security,Congressional oversight,Department of Justice,Government studies and investigations,Department of Veterans Affairs
S. 2629,https://www.congress.gov/bill/117th-congress/senate-bill/2629,Better Cybercrime Metrics Act,"Schatz, Brian","Feinstein, Dianne","Cornyn, John","Blumenthal, Richard","Tillis, Thomas","Durbin, Richard J.",Crime and Law Enforcement,Government information and archives,Government studies and investigations,Criminal justice information and records,"Criminal investigation, prosecution, interrogation"
