"","NAME","CAND_OFFICE_ST","TRANSACTION_AMT","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","GEN_ELECTION","GEN_ELECTION_PERCENT","Issues"
"828","TRENT LOTT FOR MISSISSIPPI","MS",5000,"S8MS00162","LOTT, TRENT","REP","W",63,"Abortion"
"829","MACK/CROUNSE GROUP","MT",35026,"S6MT00162","TESTER, JON","DEM","W",49,"Foreign Policy"
"830","MACK/CROUNSE GROUP","MT",12995,"S8MT00119","BURNS, CONRAD","REP","L",48,"Big Business"
"831","FRIENDS OF CONRAD BURNS - 2006","MT",5000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Abortion"
"832","MENENDEZ FOR SENATE","NJ",5000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Gun Rights"
"833","FRIENDS OF JOE LIEBERMAN","CT",5000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Gun Rights"
"834","HATCH ELECTION COMMITTEE INC","UT",5000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Jobs"
"835","MIKE DEWINE FOR US SENATE","OH",5000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Jobs"
"836","BOB CASEY FOR PENNSYLVANIA COMMITTEE","PA",5000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Abortion"
"837","ARIZONA SENATE 2006","AZ",5000,"S6AZ00142","PEDERSON, JIM","DEM","L",43,"Jobs"
"838","FRIENDS OF SHERROD BROWN","OH",5000,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Big Business"
"839","TOM KEAN FOR U.S. SENATE","NJ",5000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Foreign Policy"
"840","LINCOLN CHAFEE US SENATE","RI",5000,"S8RI00102","CHAFEE, LINCOLN D","REP","L",46,"Abortion"
"841","SANTORUM 2006","PA",5000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Foreign Policy"
"842","NMB RESEARCH","TN",24000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Jobs"
"843","STEELE FOR MARYLAND FINANCE DEPART","MD",5000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Taxes"
"844","TALENT VICTORY COMMITTEE","MO",5000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Taxes"
"845","NATIONAL MEDIA INC.","OH",552552,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Abortion"
"846","CARPER FOR SENATE","DE",5000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Gun Rights"
"847","STEELE FOR MARYLAND INC","MD",5000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Taxes"
"848","BOB CORKER FOR SENATE","TN",4100,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Big Business"
"849","FRIENDS OF CRAIG THOMAS","WY",5000,"S4WY00055","THOMAS, CRAIG","REP","W",70,"Taxes"
"850","MONTANANS FOR TESTER","MT",5000,"S6MT00162","TESTER, JON","DEM","W",49,"Foreign Policy"
"851","MOUNTJOY FOR US SENATE","CA",5000,"S6CA00501","MOUNTJOY, RICHARD L","REP","L",35,"Big Business"
"852","FRIENDS OF SHERROD BROWN","OH",5000,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Abortion"
"853","CARPER FOR SENATE","DE",5000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Taxes"
"854","MONTANANS FOR TESTER","MT",5000,"S6MT00162","TESTER, JON","DEM","W",49,"Abortion"
"855","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Big Business"
"856","FRIENDS FOR MIKE MCGAVICK","WA",5000,"S6WA00248","MCGAVICK, MICHAEL SEAN","REP","L",39,"Taxes"
"857","HATCH ELECTION COMMITTEE INC","UT",5000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Gun Rights"
"858","FRIENDS OF CONRAD BURNS - 2006","MT",5000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Gun Rights"
"859","FRIENDS OF JOE LIEBERMAN","CT",5000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Taxes"
"860","SANTORUM 2006","PA",5000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Civil Liberties"
"861","MICHAEL STEELE FOR U.S. SENATE","MD",5000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Civil Liberties"
"862","TRENT LOTT FOR MISSISSIPPI","MS",5000,"S8MS00162","LOTT, TRENT","REP","W",63,"Big Business"
"863","BEN CARDIN FOR SENATE","MD",5000,"S6MD03177","CARDIN, BENJAMIN L","DEM","W",54,"Foreign Policy"
"864","SNOWE FOR SENATE","ME",5000,"S4ME00055","SNOWE, OLYMPIA J","REP","W",74,"Big Business"
